"filename", "language", "YAML", "JSON", "XML", "Markdown", "HTML", "C++", "Dart", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\entities\register.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 5, 18
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\usecases\log_out_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\usecases\login_with_email_and_password_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\usecases\register_with_email_and_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\bloc\auth_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 18, 125
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\bloc\auth_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\bloc\auth_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 4, 48
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 7, 90
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 7, 87
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\email_login_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\login_auth_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 6, 80
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\login_have_not_an_account_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\login_remember_me_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\password_login_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_already_have_an_account.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 4, 64
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_email_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_logo_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_name_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_password_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 5, 54
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\register\register_phone_tff_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\datasources\home_local_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 15, 61
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\datasources\home_remote_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 12, 73
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\models\cart_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 4, 52, 314
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\models\categories_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 2, 53, 295
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\models\favorites_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 1, 53, 305
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\models\home_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 1, 27, 184
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\repositories\home_repository_implementation.dart", "Dart", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 13, 136
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\entities\cart.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 15, 71
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\entities\categories.dart", "Dart", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 12, 85
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\entities\favorites.dart", "Dart", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 11, 87
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\entities\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 1, 8, 111
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\repositories\home_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 8, 32
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\add_or_remove_favorites_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\add_or_remove_from_cart_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\get_all_favorites_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 4, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\get_cart_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\get_categories_data_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\get_home_data_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\domain\usecases\get_specific_category_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 3, 57, 404
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 13, 78
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 18, 18, 194
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\cart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\category_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 10, 122
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\favorites_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\layout_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 10, 121
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\screens\products_overview.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\banners_with_category_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\cart_body_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\cart_item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 5, 122
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\cart_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 3, 68
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\checkout_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 4, 67
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\custom_icon_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\empty_cart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\favorites_item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 3, 131
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_banner_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 7, 96
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_categories_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 9, 155
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_loaded_body_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_products_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 7, 108
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_search_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 10, 101
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\product_over_view_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 7, 103
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\product_over_view_info_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 61
